country_code,latitude,longitude,sum_sports,decathlon_id,sports_api_id,groups_id
CA,42.9001,-78.9329,3,461,257,2
CA,42.9001,-78.9329,3,395,522,2
CA,45.8232,-73.4294,1,219,219,1
CA,45.2404,-73.5659,2,250,250,
CA,45.2404,-73.5659,1,163,163,25
CA,45.4001,-74.0325,22,224,224,1
CA,45.4001,-74.0325,11,12,257,2
CA,43.9394,-79.4349,2,287,262,14
CA,43.8669,-79.4414,4,156,268,22
CA,45.2455,-74.2481,4,285,285,11
CA,45.3168,-73.8659,1,253,253,24
CA,45.5334,-73.9992,9,332,279,9
CA,45.1665,-73.5239,1,45,45,9
CA,45.4334,-73.1659,4,66,66,22
CA,45.4334,-73.1659,5,163,163,25
CA,48.1265,-64.8825,1,322,322,25
CA,60.0333,-77.2833,1,300,593,8
CA,45.5,-73.4833,16,322,322,25
CA,45.5,-73.4833,7,317,273,9
CA,48.9156,-57.797,1,282,282,11
CA,45.2168,-72.5158,3,286,286,14
CA,46.2291,-73.5359,3,66,66,22
CA,46.9333,-70.7333,3,288,288,14
CA,45.448,-75.7434,5,224,224,1
CA,45.4279,-75.7711,3,78,78,18
CA,45.4394,-75.8465,2,186,272,13
CA,45.4394,-75.8465,1,466,134,20
CA,45.4716,-75.7616,1,29,29,9
CA,45.3932,-75.8288,1,143,143,20
CA,45.5856,-75.4208,1,312,312,20
CA,46.6315,-72.737,4,78,78,18
CA,46.5558,-72.7437,3,66,66,22
CA,46.5068,-72.7436,1,29,29,9
CA,45.3526,-73.7305,1,405,405,1
CA,44.8734,-75.4416,3,282,282,11
CA,46.5625,-71.4383,1,321,322,25
CA,46.7546,-71.22,3,389,257,2
CA,45.5334,-73.2825,11,292,292,30
CA,45.5334,-73.2825,1,100,100,12
CA,43.4001,-80.6497,1,285,285,11
CA,43.7712,-79.2144,4,81,81,16
CA,43.7298,-79.2639,1,287,262,14
CA,48.3398,-70.8893,1,81,81,16
CA,43.4389,-80.2649,2,282,282,11
CA,45.7395,-73.4588,6,317,273,9
CA,45.7395,-73.4588,1,290,290,18
CA,47.6801,-68.8826,4,443,627,9
CA,45.4414,-73.4561,3,96,96,18
CA,45.4424,-73.4231,1,320,322,25
CA,45.4674,-73.4832,1,311,560,4
CA,50.3167,-122.8167,2,66,66,22
CA,45.5,-73.9667,1,458,147,9
CA,45.6834,-73.4325,4,171,171,25
CA,43.7059,-79.7626,1,250,250,
CA,43.7942,-79.7021,2,284,284,11
CA,45.7334,-74.1325,6,282,282,11
CA,46.9804,-70.5549,1,488,522,2
CA,46.3877,-72.5357,7,389,257,2
CA,46.316,-72.6833,2,389,257,2
CA,42.9998,-79.2656,1,283,282,11
CA,45.591,-73.4361,3,156,268,22
CA,45.591,-73.4361,1,312,312,20
CA,44.9001,-76.0161,1,171,171,25
CA,43.5771,-79.6306,1,286,286,14
CA,43.5771,-79.6306,1,428,109,15
CA,46.3267,-73.6392,2,180,180,27
CA,51.0833,-114.0833,1,395,522,2
CA,51.0833,-114.0833,1,461,257,2
CA,51.0823,-113.9578,1,284,284,11
CA,45.5,-73.8167,1,290,290,18
CA,45.4167,-75.7,3,70,70,25
CA,45.4289,-75.6844,1,322,322,25
CA,45.4448,-75.6431,2,178,270,17
CA,45.4289,-75.6844,2,98,404,19
CA,45.4519,-75.6036,1,290,290,18
CA,48.8002,-79.1996,2,443,627,9
CA,47.1691,-71.4332,1,288,288,14
CA,47.8184,-69.1505,8,290,290,18
CA,45.4414,-73.7749,15,458,147,9
CA,60.7161,-135.0537,1,459,279,9
CA,60.7161,-135.0537,1,333,279,9
CA,45.2834,-72.9824,1,104,428,12
CA,45.2834,-72.9824,5,224,224,1
CA,45.481,-73.497,1,290,290,18
CA,45.5073,-73.5082,1,488,522,2
CA,52.4668,-113.7353,3,224,224,1
CA,46.434,-71.0117,1,458,147,9
CA,45.6512,-72.5666,5,321,322,25
CA,45.3704,-75.9198,1,428,109,15
CA,46.65,-70.8,5,280,257,2
CA,45.4643,-73.5698,5,405,405,1
CA,45.5183,-73.5023,9,250,250,
CA,45.5362,-73.4721,15,281,281,11
CA,45.5523,-73.4558,2,461,257,2
CA,45.5183,-73.5023,8,163,163,25
CA,45.5333,-73.5167,8,286,286,14
CA,45.5523,-73.4558,1,395,522,2
CA,45.5362,-73.4721,2,308,132,20
CA,45.5183,-73.5023,2,178,270,17
CA,45.4858,-73.7433,5,283,282,11
CA,46.8033,-71.1779,2,98,404,19
CA,43.8432,-79.5644,1,281,281,11
CA,43.8432,-79.5644,2,458,147,9
CA,62.456,-114.3525,1,160,160,21
CA,49.2478,-122.9938,1,282,282,11
CA,45.3126,-73.2351,1,443,627,9
CA,46.3168,-74.2159,4,282,282,11
CA,53.5428,-113.4974,7,443,627,9
CA,45.3668,-73.5659,1,297,593,8
CA,45.4861,-73.5732,10,37,37,9
CA,45.5313,-73.7091,3,287,262,14
CA,45.5883,-73.5572,3,100,100,12
CA,45.5168,-73.6072,1,392,392,27
CA,45.5779,-73.5304,3,74,74,3
CA,45.4529,-73.6492,1,282,282,11
CA,45.5486,-73.5788,1,334,279,9
CA,45.5,-73.5833,1,302,593,8
CA,45.5618,-73.599,3,100,100,12
CA,45.5585,-73.5386,2,166,166,21
CA,45.5883,-73.5572,1,160,160,21
CA,45.5057,-73.555,2,319,319,10
CA,45.5383,-73.6932,1,37,37,9
CA,45.5779,-73.5304,1,12,257,2
CA,45.4964,-73.6647,1,166,166,21
CA,45.7643,-73.5036,1,109,109,15
CA,45.5442,-73.5468,1,487,522,2
CA,45.5966,-73.5928,1,171,171,25
CA,43.2245,-79.6988,1,141,307,20
CA,43.6889,-79.4507,1,302,593,8
CA,43.7568,-79.521,1,132,132,20
CA,43.7137,-79.4869,2,321,322,25
CA,43.6915,-79.4307,1,45,45,9
CA,43.6803,-79.3538,9,320,322,25
CA,43.6404,-79.3995,13,285,285,11
CA,43.6655,-79.4378,7,286,286,14
CA,43.7137,-79.4869,2,76,76,3
CA,43.6492,-79.3823,1,186,272,13
CA,43.6404,-79.3995,2,306,134,20
CA,43.7334,-79.3329,2,321,322,25
CA,43.6683,-79.4205,2,317,273,9
CA,43.7535,-79.4472,1,81,81,16
CA,43.7915,-79.4103,1,428,109,15
CA,43.6784,-79.2941,1,283,282,11
CA,43.6383,-79.4301,3,443,627,9
CA,43.6656,-79.383,1,490,489,9
CA,43.7081,-79.4479,1,132,132,20
CA,43.7223,-79.4504,1,443,627,9
CA,43.6605,-79.4633,1,284,284,11
CA,43.7068,-79.517,1,12,257,2
CA,43.6555,-79.3626,1,104,428,12
CA,43.7366,-79.5401,1,322,322,25
CA,43.8795,-79.7379,1,156,268,22
CA,45.3168,-72.6491,1,312,312,20
CA,45.5527,-73.1755,10,443,627,9
CA,49.866,-119.7387,1,70,70,25
CA,45.4046,-72.7202,21,285,285,11
CA,49.17,-123.1368,3,280,257,2
CA,45.4948,-73.8317,1,93,93,20
CA,47.55,-79.2333,1,405,405,1
CA,45.3668,-73.5492,1,458,147,9
CA,48.416,-68.5979,1,98,404,19
CA,48.159,-68.1951,1,12,257,2
CA,48.416,-68.5979,2,332,279,9
CA,48.416,-68.5979,1,322,322,25
CA,46.9233,-70.8968,2,409,409,23
CA,46.9233,-70.8968,1,78,78,18
CA,48.4175,-71.1031,2,285,285,11
CA,45.3891,-71.8986,10,286,286,14
CA,45.3822,-71.9327,9,321,322,25
CA,45.3395,-72.0128,2,224,224,1
CA,45.3822,-71.9327,2,298,593,8
CA,45.3822,-71.9327,2,295,593,8
CA,45.4797,-71.9492,5,66,66,22
CA,45.4024,-71.8479,2,224,224,1
CA,45.4131,-71.9238,1,78,78,18
CA,45.3822,-71.9327,1,100,100,12
CA,45.45,-73.2667,14,37,37,9
CA,50.8869,-120.7357,1,312,312,20
CA,49.9333,-105.9667,1,284,284,11
CA,44.3,-77.8,1,141,307,20
CA,46.3995,-70.5068,1,132,132,20
CA,45.8382,-71.9542,1,319,319,10
CA,45.8382,-71.9542,2,282,282,11
CA,45.4334,-76.3494,1,443,627,9
CA,48.8286,-67.522,2,81,81,16
CA,49.3222,-123.0834,1,290,290,18
CA,45.6095,-73.8378,10,66,66,22
CA,49.2667,-122.7833,1,318,318,10
CA,45.3994,-73.6506,1,425,109,15
CA,45.4,-73,3,428,109,15
CA,45.4,-73,1,291,351,15
CA,45.6139,-72.9912,2,141,307,20
CA,45.6139,-72.9912,10,280,257,2
CA,45.1665,-73.5239,1,166,166,21
CA,45.5,-73.4833,9,163,163,25
CA,45.5,-73.4833,1,324,474,25
CA,46.0206,-73.1439,4,281,281,11
CA,45.8232,-73.4294,1,98,404,19
CA,45.4001,-74.0325,10,389,257,2
CA,45.8945,-77.2801,3,458,147,9
CA,48.8763,-72.212,1,96,96,18
CA,44.6752,-63.5077,3,81,81,16
CA,44.7091,-63.5869,1,319,319,10
CA,45.4168,-73.4992,17,322,322,25
CA,45.4334,-73.1659,5,160,160,21
CA,43.8669,-79.4414,3,458,147,9
CA,46.75,-70.5833,1,163,163,25
CA,49.6354,-124.0387,1,66,66,22
CA,46.9804,-70.5549,1,395,522,2
CA,45.6097,-73.5794,1,284,284,11
CA,45.6,-73.5333,1,45,45,9
CA,45.7045,-73.9472,3,12,257,2
CA,45.7045,-73.9472,1,305,134,20
CA,45.7045,-73.9472,6,224,224,1
CA,48.8002,-79.1996,5,224,224,1
CA,47.1691,-71.4332,2,45,45,9
CA,47.1691,-71.4332,1,37,37,9
CA,46.2291,-73.5359,3,283,282,11
CA,51.0334,-113.8187,1,96,96,18
CA,45.77,-73.6049,1,175,404,19
CA,45.3059,-74.3049,3,283,282,11
CA,60.7161,-135.0537,1,282,282,11
CA,43.4106,-80.5011,4,291,351,15
CA,46.7167,-71.2667,1,132,132,20
CA,46.7167,-71.2667,5,285,285,11
CA,62.456,-114.3525,12,458,147,9
CA,46.8291,-70.3925,1,285,285,11
CA,50.2,-66.3833,1,425,109,15
CA,45.4643,-73.5698,18,322,322,25
CA,45.4594,-73.5501,2,143,143,20
CA,53.6313,-113.5245,1,295,593,8
CA,45.5984,-73.7159,12,320,322,25
CA,45.578,-73.8004,1,332,279,9
CA,45.6409,-73.7542,1,313,20,11
CA,45.5573,-73.7725,1,89,89,16
CA,45.7987,-74.0727,4,70,70,25
CA,45.7987,-74.0727,9,282,282,11
CA,45.7788,-73.9829,1,319,319,10
CA,45.3691,-73.7216,14,163,163,25
CA,45.3526,-73.7305,1,290,290,18
CA,45.3526,-73.7305,1,317,273,9
CA,52.2316,-113.8358,1,449,391,29
CA,45.8834,-73.2825,3,458,147,9
CA,47.8339,-69.4042,1,325,325,6
CA,53.6333,-113.6333,1,284,284,11
CA,45.3467,-72.5131,1,66,66,22
CA,45.4674,-73.4832,1,395,522,2
CA,45.4424,-73.4231,5,78,78,18
CA,45.4674,-73.4832,2,461,257,2
CA,44.9988,-64.7312,4,29,29,9
CA,44.9988,-64.7312,4,284,284,11
CA,45.591,-73.4361,10,471,322,25
CA,45.591,-73.4361,2,294,593,8
CA,45.4168,-73.4992,14,127,127,8
CA,45.4166,-75.6904,1,322,322,25
CA,45.4166,-75.6904,2,317,273,9
CA,45.4167,-75.7,5,186,272,13
CA,45.4023,-75.7329,2,449,391,29
CA,45.7774,-73.4252,30,458,147,9
CA,45.7395,-73.4588,8,284,284,11
CA,45.7774,-73.4252,7,281,281,11
CA,45.7774,-73.4252,1,313,20,11
CA,45.5333,-73.5167,6,292,292,30
CA,45.5679,-73.4761,6,81,81,16
CA,45.5333,-73.5167,1,305,134,20
CA,45.5167,-73.6667,4,132,132,20
CA,45.5167,-73.6667,10,285,285,11
CA,45.5167,-73.6667,1,306,134,20
CA,45.517,-73.6831,1,295,593,8
CA,45.5049,-73.7142,1,290,290,18
CA,47.8184,-69.1505,49,29,29,9
CA,47.8184,-69.1505,64,284,284,11
CA,47.8184,-69.1505,2,487,522,2
CA,45.3932,-75.8288,1,178,270,17
CA,45.4394,-75.8465,1,307,307,20
CA,45.5856,-75.4208,2,389,257,2
CA,45.3932,-75.8288,3,425,109,15
CA,45.5856,-75.4208,2,458,147,9
CA,45.448,-75.7434,2,93,93,20
CA,45.4869,-75.6157,1,160,160,21
CA,45.3053,-66.0808,2,461,257,2
CA,46.0529,-71.9477,2,286,286,14
CA,43.0123,-81.2307,3,282,282,11
CA,45.481,-73.497,1,178,270,17
CA,45.4501,-73.8659,1,332,279,9
CA,50.3167,-122.8167,1,321,322,25
CA,43.8156,-79.4534,1,285,285,11
CA,45.6834,-73.4325,12,321,322,25
CA,45.6834,-73.4325,2,290,290,18
CA,48.4267,-123.3655,1,320,322,25
CA,45.4697,-75.4715,1,306,134,20
CA,46.434,-71.0117,2,288,288,14
CA,46.7546,-71.22,1,219,219,1
CA,45.5334,-73.2825,17,285,285,11
CA,45.866,-74.1785,1,143,143,20
CA,43.3081,-79.8507,1,219,219,1
CA,49.3163,-124.3194,1,288,288,14
CA,45.2832,-73.2792,3,224,224,1
CA,46.65,-70.8,3,318,318,10
CA,45.2668,-72.1491,5,29,29,9
CA,45.3126,-73.2351,2,180,180,27
CA,46.3168,-74.2159,1,318,318,10
CA,44.99,-64.95,1,70,70,25
CA,43.7298,-79.2639,7,280,257,2
CA,43.7946,-79.2644,1,317,273,9
CA,45.6602,-73.8157,5,253,253,24
CA,45.6602,-73.8157,2,45,45,9
