Name1,Name2,Name3,Name4
Spearfishing,Pêche sous-marine,Pêche sous-marine,
Squid fishing,Pêche au calmar,Pêche au calmar,
Still fishing,Pêche en eaux troubles,Pêche en eaux troubles,
Surf fishing,Surf-casting,Surf-casting,
Trout fishing,Pêche à la truite,Pêche à la truite,
Trolling,Pêche à la traîne,Pêche à la traîne,
Climbing,Escalade,Escalade,
Big wall climbing,Escalade big wall,Escalade big wall,
Bouldering,Escalade de bloc,Escalade de bloc,
Free solo climbing,Escalade en solo intégral,Escalade en solo intégral,soloing
Ice climbing,Escalade glaciaire,Escalade glaciaire,
Indoor climbing,Escalade d'intérieur,Escalade d'intérieur,
Multi-pitch climbing,Escalade multi-terrains,Escalade multi-terrains,
Rock climbing,Escalade,Escalade,
Mountaineering,Alpinisme,Alpinisme,
Spelunking,Spéléologie,Spéléologie,
Canyoning,Canyoning,Canyoning,
Sailing,Voile,Voile,
Canoe sailing,Canoë en voilier,Canoë en voilier,
Catamaran,Catamaran,Catamaran,
Cruise yacht sailing,Croisière en voilier,Croisière en voilier,
Regatta,Régate,Régate,
Yacht sailing,Navigation de plaisance,Navigation de plaisance,
Camping,Camping,Camping,
Backpacking,Backpack,Backpack,
Canoe camping,Canot-camping,Canot-camping,"canoe touring, expedition canoeing, canoe tripping"
Glamping,Glamping,Glamping,
RVing,Camping en tente roulotte,VR camping,
Paddle sports,,,
Rowing,Aviron,Aviron,
Adaptive rowing,Aviron handisport,Aviron handisport,
Coastal rowing,Aviron côtière,Aviron offshore,Offshore rowing
Sweep,Aviron sweep,Aviron sweep,sweep-oar
Kayaking,Kayak,Kayak,
Extreme racing,Kayak extrême en eau vive,Kayak extrême en eau vive,
Kayak racing,Course de kayak,Course de kayak,
Playboating,Kayak rodéo,Kayak freestyle,
Snow boating,Kayak sur neige,Kayak sur neige,snow kayaking
Sprint Kayak,Kayak de vitesse,Kayak de vitesse,
Surf kayaking,Kayak-surf,Kayak-surf,
Surf skiing,Ski de surf,Ski de surf,
Touring kayaking,Kayak de randonnée,Kayak de randonnée,
Rafting ,Rafting,Rafting,white water rafting
Canoeing,Canoë,Canoë,
Canoe marathon,Marathon canoë,Marathon canoë,
Canoe polo,Canoe-polo,Canoe-polo,
Canoe racing,Course de canoë,Course de canoë,
Canoe slalom,Slalom canoë,Slalom canoë,whitewater slalom
Creeking,Creeking,Creeking,"steep creeking, treetop boating, creekboating"
Paracanoe,Paracanoë,Paracanoë,
Squirt boating,Canoë sous l'eau,Canoë sous l'eau,
Wildwater canoeing,Descente en canoë,Descente en canoë,
Dragon boat,Bateau-dragon,Bateau-dragon,
Standup paddleboarding,Stand up paddle,Stand up paddle,SUP
Race SUP,Planche à pagaie de course,Planche à pagaie de course,
Surf SUP,Planche à pagaie de surf,Planche à pagaie de surf,
Touring SUP,Planche à pagaie de randonnée,Planche à pagaie de randonnée,
Cycle sport ,,,
Artistic cycling,Cyclisme artistique,Cyclisme artistique,
BMX,BMX,BMX,
Freestyle BMX,BMX freestyle,BMX freestyle,
Fatbike,Fatbike,VPS,"fat-tire bike, fat bike"
Hybrid biking,Vélo hybride,Vélo hybride,
Gravel cycling,Vélo de gravier,Vélo de gravier,
Cyclocross,Cyclo-cross,Cyclo-cross,"CX, cyclo-X"
Mountain biking,Vélo de montagne,Vélo de montagne,
Cross-country cycling,VTT cross-country,VTT cross-country,XC Cycling
Trail Riding,Vélo en sentier,Vélo en sentier,
Paracycling,Paracyclisme,Cyclisme handisport,Para-cycling
Track paracycling,Paracyclisme sur piste,Paracyclisme sur piste,
Road paracycling,Paracyclisme sur route,Paracyclisme sur route,
Road cycling,Vélo de route,Vélo de route,
Cycling,Cyclisme,Cyclisme,
Road bicycle racing,Vélo de route de course,Vélo de route de course,
City biking,Vélo de ville,Vélo de ville,
Spinning,Spinning,Cyclisme en salle,Indoor cycling
Track cycling,Cyclisme sur piste,Cyclisme sur piste,
Motor-paced cycling,Demi-fond sur piste,Demi-fond sur piste,Motor-paced racing
Keirin,Keirin,Keirin,
Cycle speedway,Cyclisme sur piste de terre,Cyclisme sur piste de terre,
Artistic and dance sports,,,
Gymnastics,Gymnastique,Gymnastique,
Acrobatic gymnastics,Gymnastique acrobatique,Gymnastique acrobatique,"sport acrobatics, acrogym"
Aerobic gymnastics,Gymnastique aérobic,Gymnastique aérobic,sport aerobics
Artistic gymnastics,Gymnastique artistique,Gymnastique artistique,
Baby gymnastics,Gymnastique pour bébé,Gymnastique pour bébé,
Parkour,Parkour,Parkour,
Rhythmic gymnastics,Gymnastique rythmique,Gymnastique rythmique,
Voluntary gymnastics,Gymnastique volontaire,Gymnastique volontaire,
Swedish gymnastics,Gymnastique suédoise,Gymnastique suédoise,
Trampolining,Trampoline,Trampoline,
Tumbling,Tumbling,Tumbling,power tumbling
Cheerleading,Cheerleading,Cheerleading,
Dance,Danse,Danse,
Acro dance,Danse acrobatique,Danse acrobatique,
Contemporary dance,Danse contemporaine,Danse contemporaine,
Flamenco,Flamenco,Flamenco,
Hip-Hop,Hip-Hop,Hip-Hop,
Jazz,Jazz,Jazz,
Latin,Danse latine,Danse latine,
Foxtrot,Fox-trot,Fox-trot,
Street dance,Danse urbaine,Danse urbaine,
Swing,Swing,Swing,
Tango,Tango,Tango,
Ballet,Ballet,Ballet,
Fitness dance,Danse de mise en forme,Danse de mise en forme,
Zumba,Zumba,Zumba,
Diving sports,,,
Diving,Plongeon,Plongeon,
10m diving,Plongeon 10m,Plongeon 10m,
1m diving,Plongeon 1m,Plongeon 1m,
3m diving,Plongeon 3m,Plongeon 3m,
Cliff diving,Plongée en falaise,Plongée en falaise,
High diving,Plongeon de haut vol,Plongeon de haut vol,
Synchronized diving,Plongée synchronisée,Plongée synchronisée,
Underwater diving,Plongée sous-marine,Plongée sous-marine,
Cave diving,Plongée souterraine,Plongée souterraine,
Deep diving,Plongée profonde,Plongée profonde,
Finswimming,Nage avec palmes,Nage avec palmes,
Free-diving,Plongée en apnée,Plongée en apnée,
Ice diving,Plongée sous glace,Plongée sous glace,
Scuba diving,Plongée sous-marine,Plongée sous-marine,
Snorkeling,Plongée libre,Plongée libre,
Equestrianism,,,
Horse competition,Compétition équestre,Compétition équestre,Equestrian sports
Combined driving,Attelage,Attelage,horse driving trials
Horse dressage,Dressage de chevaux,Dressage de chevaux,
Endurance riding,Endurance à cheval,Endurance à cheval,
Equestrian mounted games,Jeux équestres à cheval,Jeux équestres à cheval,
Horse eventing,Concours de chevaux,Concours de chevaux,
Horseball,Horse-ball,Horse-ball,
Polo,Polo,Polo,
Horse show jumping,Saut d'obstacles de chevaux,Saut d'obstacles de chevaux,
Steeplechase,Steeple-chase,Steeple-chase,
Tent pegging,Tent pegging,Tent pegging,tentpeggin
Para-equestrianism,Para-équestre,Para-équestre,
Vaulting,Voltige en cercle,Voltige équestre,Equestrian vaulting
Horseback riding,Équitation,Équitation,
Horseback trail riding,Randonnée à cheval,Randonnée à cheval,
Horseback western riding,Équitation western,Équitation western,Western riding
Reining,Reining,Reining,
Strength training,,,
Cardio training,Entrainement cardio,Entrainement cardio,
High-intensity interval training,Entraînement fractionné de haute intensité,Entraînement fractionné de haute intensité,"HIIT, "
Step aerobics,Step aérobic,Step aérobic,
Tae Bo,Tae Bo,Tae Bo,
Fitness,Mise en forme,Mise en forme,
Bodypump,Body pump,Body pump,
Calisthenics,Callisthénie,Callisthénie,
Circuit training,Entraînement en circuit,Entraînement en circuit,
Cross-training,Cross-training,Cross-training,
Pilates,Pilates,Pilates,
Plyometrics,Pliométrie,Pliométrie,
Street workout,Street workout,Street workout,
Stretching,Étirement,Étirement,
Weight training,Musculation,Musculation,
Bodybuilding,Culturisme,Culturisme,
Crossfit,Crossfit,Crossfit,
Kettlebell lifting,Levage du kettlebell,Levage du kettlebell,
Olympic weightlifting,Haltérophilie,Haltérophilie,weightlifting
Powerlifting,Dynamophilie,Force athlétique,
Strongman ,Homme fort,Homme fort,
Football Sports,,,
Football,Football ,Football américain,
Arena football,Football d'arène,Football d'arène,
Canadian football,Football canadien,Football canadien,
Eight-man football,Football américain à huit,Football américain à huit,
Flag football,Flag,Flag football,
Nine-man football,Football américain à neuf,Football américain à neuf,
Six-man football,Football américain à six,Football américain à six,
Sprint football,Football de sprint,Football de sprint,lightweight football
Touch football,Touch,Touch,
Wheelchair football,Football en fauteuil roulant,Football en fauteuil roulant,
Rugby,Rugby,Rugby,
Beach rugby,Rugby de plage,Rugby de plage,
Flag rugby,Rugby foulard,Rugby foulard,Tag rugby
Mini rugby,Mini rugby,Mini rugby,New Image Rugby
Rugby league,Rugby à XIII,Rugby à XIII,
Rugby sevens,Rugby à sept,Rugby à sept,
Rugby union,Rugby à XV,Rugby à XV,
Touch rugby,Touch Rugby,Touch Rugby,
Wheelchair rugby,Rugby-fauteuil,Rugby-fauteuil,"quad rugby, murderball"
Soccer,Football,Football,
11 a side soccer,Football à 11,Football à 11,
5 a side soccer,Football à 5,Football à 5,
Beach soccer,Football de plage,Football de plage,
Bubble soccer,Bubble soccer,Bubble football,"Airball soccer, bubbleball"
Futsal,Futsal,Futsal,
Indoor soccer,Soccer intérieur,Foot en salle,
Jorkyball,Jorkyball,Foot à 2,
Paralympic soccer,Soccer paralympique,Football paralympique,
Power soccer,Foot fauteuil,Foot fauteuil,Powerchair Football
Roller soccer,Rollersoccer,Roller football,roller foot
Street soccer,Street soccer,Football de rue,Street football
Swamp soccer,Foot de boue,Foot de boue,Swamp football
Club-and-Ball sports,,,
Golf,Golf,Golf,
18 holes golf,Golf 18 trous,Golf 18 trous,
9 holes golf,Golf 9 trous,Golf 9 trous,
Beach golf,Beach golf,Beach golf,
Hickory golf,Golf d'hickory,Golf d'hickory,
Indoor golf,Golf intérieur,Golf intérieur,
Long drive,Long drive,Long drive,
Park golf,Golf en parc,Golf en parc,
Pitch and putt,Pitch and putt,Pitch and putt,
Shotgun start,Golf au départ fusil,Golf au départ fusil,
Snow golf,Golf de neige,Golf de neige,
Speed golf,Speed golf,Speed golf,"extreme golf, fast golf, fitness golf, hit and run golf"
GolfCross,GolfCross,GolfCross,
Minigolf,Mini-putt,Mini golf,"crazy golf, putt-putt, miniature golf"
Urban golf,Golf urbain,Street golf,
Basket and handball sports,,,
